0,1,2,3,4,5,6,7,8,9,10
1,69147E+12,(08/08/2023)_12/31/45,-48,-40,-48,-38,-30,-39,-56,-47
1,69147E+12,(08/08/2023)_12/31/53,-49,-39,-50,-36,-30,-36,-50,-43
1,69147E+12,(08/08/2023)_12/32/01,-49,-40,-52,-37,-30,-40,-53,-45
1,69147E+12,(08/08/2023)_12/32/13,-48,-41,-51,-36,-30,-39,-53,-43
1,69147E+12,(08/08/2023)_12/32/18,-47,-42,-50,-33,-30,-38,-50,-52
1,69147E+12,(08/08/2023)_12/32/21,-49,-42,-46,-37,-30,-37,-51,-54
1,69147E+12,(08/08/2023)_12/32/29,-46,-32,-50,-39,-30,-37,-49,-52
1,69147E+12,(08/08/2023)_12/32/33,-45,-39,-49,-36,-30,-38,-50,-54
1,69147E+12,(08/08/2023)_12/32/45,-47,-39,-49,-40,-30,-40,-47,-41
1,69147E+12,(08/08/2023)_12/32/49,-43,-38,-50,-44,-32,-40,-47,-42
1,69147E+12,(08/08/2023)_12/32/53,-47,-38,-50,-37,-31,-38,-53,-44
1,69147E+12,(08/08/2023)_12/31/53,-49,-39,-50,-36,-30,-36,-50,-43
1,69147E+12,(08/08/2023)_12/32/01,-49,-40,-52,-37,-30,-40,-53,-45
1,69147E+12,(08/08/2023)_12/32/13,-48,-41,-51,-36,-30,-39,-53,-43
1,69147E+12,(08/08/2023)_12/32/18,-47,-42,-50,-33,-30,-38,-50,-52
1,69147E+12,(08/08/2023)_12/32/21,-49,-42,-46,-37,-30,-37,-51,-54
1,69147E+12,(08/08/2023)_12/32/29,-46,-32,-50,-39,-30,-37,-49,-52
1,69147E+12,(08/08/2023)_12/32/33,-45,-39,-49,-36,-30,-38,-50,-54
1,69147E+12,(08/08/2023)_12/32/45,-47,-39,-49,-40,-30,-40,-47,-41
1,69147E+12,(08/08/2023)_12/32/49,-43,-38,-50,-44,-32,-40,-47,-42
1,69147E+12,(08/08/2023)_12/32/53,-47,-38,-50,-37,-31,-38,-53,-44
